Index,A-191107-11cm-1,A-191107-11cm-2,A-191107-1cm-1,A-191107-1cm-2,A-191107-6cm-1,A-191107-6cm-2,A-191107-LW-1,A-191107-LW-2,A-191107-scum-1,A-191107-scum-2,A-191220-11cm-1,A-191220-11cm-2,A-191220-1cm-1,A-191220-1cm-2,A-191220-6cm-1,A-191220-6cm-2,A-191220-LW-1,A-191220-LW-2,A-200225-10cm-1,A-200225-10cm-2,A-200225-15cm-1,A-200225-15cm-2,A-200225-1cm-1,A-200225-1cm-2,A-200225-5cm-1,A-200225-5cm-2,A-200225-LW-1,A-200404-11cm-1,A-200404-11cm-2,A-200404-1cm-1,A-200404-1cm-2,A-200404-6cm-1,A-200404-6cm-2,A-200404-LW-1,A-200404-LW-2,A-200506-LW-1,A-200506-LW-2,A-200701-LW-1,A-200701-LW-2,A-200731-11cm-1,A-200731-11cm-2,A-200731-15cm-1,A-200731-15cm-2,A-200731-16cm-1,A-200731-16cm-2,A-200731-20cm-1,A-200731-20cm-2,A-200731-6cm-1,A-200731-6cm-2,A-200731-LW-1,A-200731-LW-2,A-200731-WaterSurfaceMat-1,A-200731-WaterSurfaceMat-2,A-200912-LW-1,A-200912-LW-2,A-201008-10cm-1,A-201008-10cm-2,A-201008-1cm-1,A-201008-1cm-2,A-201008-6cm-1,A-201008-6cm-2,A-201008-LW-1,A-201008-LW-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Rhodothermaceae;g__Salisaeta;s__uncultured_organism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marivita;__,0,0,150,193,41,0,0,0,0,0,0,0,49,59,0,0,0,31,0,0,0,0,17,14,0,13,0,0,0,0,24,11,11,0,0,0,0,0,0,0,0,0,39,0,0,0,40,0,55,0,0,43,23,0,0,0,0,18,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__GIF3;f__GIF3;g__GIF3;s__uncultured_bacterium,0,0,0,0,5,0,0,0,0,0,4,9,0,0,17,10,0,0,57,49,85,73,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,39,7,0,7,17,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__AKAU3564_sediment_group;g__AKAU3564_sediment_group;__,0,0,13,0,63,37,0,0,0,0,14,8,76,34,0,0,0,0,28,76,0,26,21,30,40,113,0,33,18,64,8,0,143,0,0,0,0,0,0,40,82,19,197,33,20,0,37,9,79,0,0,0,0,0,0,0,0,0,0,11,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantales;g__Aminicenantales;s__uncultured_Aminicenantes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Spirochaeta_2;s__uncultured_organism,0,0,157,98,81,34,0,0,22,0,19,14,255,149,28,68,0,0,113,147,35,112,98,150,58,55,0,73,32,1087,515,89,125,0,0,0,0,0,0,31,19,0,249,23,37,15,55,63,257,0,0,157,109,0,0,260,154,699,695,871,261,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Psychroflexus;__,0,0,56,54,0,0,24,20,53,19,17,0,36,31,0,0,21,51,0,0,6,0,42,39,0,0,0,22,24,63,0,80,0,0,0,0,0,0,0,0,0,0,0,0,11,0,16,0,0,8,90,0,14,0,0,0,0,22,23,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Acetothermia;c__Acetothermiia;o__Acetothermiia;f__Acetothermiia;g__Acetothermiia;s__uncultured_bacterium,7,9,0,0,21,64,0,0,0,0,0,12,0,11,49,31,0,0,56,27,14,10,0,0,61,13,0,30,80,11,9,0,3,0,0,0,0,0,0,18,67,16,0,28,65,0,5,68,0,0,0,0,0,0,0,0,10,4,0,31,92,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;__;__;__;__;__;__,24,26,21,11,40,73,7,29,23,7,63,55,23,52,63,72,32,56,112,147,111,80,28,24,70,56,0,58,90,242,72,73,88,0,0,0,0,0,0,61,88,100,45,34,104,18,229,25,96,21,27,5,11,45,51,446,32,89,107,235,115,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Halochromatium;__,18,0,324,258,56,0,0,3,891,433,0,0,110,82,12,30,0,12,29,53,0,10,32,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,24,81,0,12,0,0,0,65,0,32,2473,2080,0,0,0,0,0,0,0,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
